ContractID,LastName,FirstName,MiddleInitial,Gender,BirthDate,Street1,Street2,City,State,ZipCode,RelationshipCode
C1001,Smith,Emily,A,F,2012-06-10,123 Maple St,,Edison,NJ,08817,CH
C1001,Smith,Noah,B,M,2023-02-01,123 Maple St,,Edison,NJ,08817,CH
C1002,Patel,Rahul,K,M,2015-09-14,45 Oak Ave,Apt 2B,Iselin,NJ,08830,CH
C1002,Patel,Meera,S,F,1988-12-22,45 Oak Ave,Apt 2B,Iselin,NJ,08830,SP
C1003,Brown,Liam,J,M,2008-01-03,78 Pine Rd,,Newark,NJ,07102,CH
C1004,Lopez,Ana,M,F,2019-04-18,910 Cedar St,,Jersey City,NJ,07306,CH
C1005,Chen,Ethan,W,M,2011-07-27,33 Birch Ln,,Princeton,NJ,08540,CH
C1006,Johnson,Lucas,P,M,2016-10-05,201 Lake Dr,,Dallas,TX,75201,CH
C1006,Johnson,Sarah,L,F,1984-03-11,201 Lake Dr,,Dallas,TX,75201,SP
C1007,Nguyen,Olivia,R,F,2024-02-23,88 River Rd,,Plano,TX,75023,CH
C1008,Garcia,Diego,E,M,2005-12-14,67 Elm St,,Austin,TX,73301,CH
C1009,Miller,Megan,T,F,1998-08-19,410 Willow Ct,,Houston,TX,77002,CH
C1010,Khan,Yusuf,A,M,2014-11-01,19 Sunset Blvd,,Irving,TX,75038,CH
C1011,Wilson,Emma,K,F,1990-06-07,300 Spruce St,,San Jose,CA,95112,CH
C1012,Shah,Arjun,V,M,2022-09-30,54 Mission Rd,,Fremont,CA,94536,CH
C1013,Lee,Hannah,M,F,2007-03-12,811 Market St,,San Francisco,CA,94103,CH
C1014,Martinez,Juan,S,M,2010-05-09,92 King St,,Los Angeles,CA,90012,CH
C1015,Kim,Sophia,J,F,1996-02-21,15 Pearl Ave,,Irvine,CA,92614,CH
C1016,Anderson,Evan,D,M,2018-08-25,702 Highland Rd,,Chicago,IL,60601,CH
C1017,Ahmed,Layla,H,F,2021-01-14,64 Lakeshore Dr,,Naperville,IL,60540,CH
C1018,Thompson,Mark,R,M,1985-10-03,820 Park Ave,,Evanston,IL,60201,CH
C1019,Verma,Aarav,N,M,2020-04-26,109 Forest St,,Aurora,IL,60505,CH
C1020,Clark,Amanda,L,F,1993-07-08,55 Meadow Ln,,Joliet,IL,60431,CH
C1021,Harris,Jacob,S,M,2017-12-17,401 Ocean Blvd,,Miami,FL,33101,CH
C1022,Ali,Zain,K,M,2023-01-05,77 Palm Dr,,Orlando,FL,32801,CH
C1023,Rodriguez,Mateo,E,M,2009-09-29,900 Bay St,,Tampa,FL,33602,CH
C1024,Walker,Lily,F,F,2015-06-02,62 Coral Way,,Fort Lauderdale,FL,33301,CH
C1025,Gupta,Neel,R,M,2013-11-16,18 Sunrise Ct,,Boca Raton,FL,33432,CH
